95,5,A005,1800076,"PT BANK NEGARA INDONESIA (PERSERO), TBK",,2018-01-12,31/12/2018,313/PKS-ADD/BSP/XI/2018,ADD,1,109,,Aktif
96,5,A005,1800077,"PT BANK NEGARA INDONESIA (PERSERO), TBK",,2018-01-04,31/10/2018,171/PKS-AMD/BSP/VI/2018,AMD,1,23,,Aktif
97,5,A005,1800078,"PT BANK NEGARA INDONESIA (PERSERO), TBK",,2018-01-04,31/10/2018,172/PKS-AMD/BSP/VI/2018,AMD,1,11,,Aktif
98,6,A006,1800079,"PT BANK NEGARA INDONESIA (PERSERO), TBK",,2018-01-11,30/11/2018,282/PKS-AMD/BSP/X/2018,AMD,1,65,,Aktif
99,4,A004,1800080,"PT BANK NUSANTARA PARAHYANGAN, TBK",,2018-01-01,31/12/2018,127/PKS/BSP/IV/2018,PKS,1,16,,Aktif
100,8,A008,1800081,"PT BANK OCBC NISP, TBK",,2015-01-12,30/11/2018,075/CPF/HK.07/RIS/XII/2015,PKS,1,260,,Aktif
101,1,A001,1800081,"PT BANK PAN INDONESIA, TBK",,2018-01-08,31/07/2019,190/PKS-ADD/BSP/VII/2018,ADD,1,9,,Aktif
102,3,A003,1800082,"PT BANK PAN INDONESIA, TBK",,14/06/2018,14/06/2019,218/PKS-AMD/BSP/VII/2018,AMD,1,3,,Aktif
103,7,A007,1800083,PT BANK PEMBANGUNAN DAERAH PAPUA,,2017-04-12,2019-03-12,314/PKS/BSP/XI/2017,PKS,1,112,,Aktif
104,5,A005,1800083,PT BANK PEMBANGUNAN DAERAH PAPUA,,15/05/2018,14/05/2019,04/PKS-BPD.SBY/V/2018,PKS,1,4,,Aktif
105,7,A007,1800084,PT BANK PEMBANGUNAN DAERAH PAPUA,,2017-01-09,31/08/2018,268/PKS/BSP/X/2017,PKS,1,6,,Aktif
106,7,A007,1800084,PT BANK PEMBANGUNAN DAERAH PAPUA,,27/02/2017,27/02/2019,279/PKS-AMD/BSP/X/2017,AMD,1,7,,Aktif
